Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
M xico,2021,3,Hombres,788779,4603612,17.133915720000000000000
M xico,2021,3,Mujeres,372036,2889887,12.873721360000000000000
Michoac n,2021,3,Hombres,126225,1312219,9.6192022830000000000000
Michoac n,2021,3,Mujeres,87202,813399,10.720691810000000000000
Morelos,2021,3,Hombres,67298,506233,13.293878510000000000000
Morelos,2021,3,Mujeres,30199,330510,9.1370911620000000000000
Nayarit,2021,3,Hombres,24095,341802,7.0494028710000000000000
Nayarit,2021,3,Mujeres,19570,238561,8.2033526020000000000000
Nuevo Le n,2021,3,Hombres,503572,1712519,29.405337980000000000000
Nuevo Le n,2021,3,Mujeres,210363,1021720,20.589104650000000000000
Oaxaca,2021,3,Hombres,80114,1041786,7.6900630260000000000000
Oaxaca,2021,3,Mujeres,133070,710915,18.718130860000000000000
Puebla,2021,3,Hombres,286702,1709317,16.772898180000000000000
Puebla,2021,3,Mujeres,188908,1163761,16.232542590000000000000
Quer taro,2021,3,Hombres,150665,622991,24.184137490000000000000
Quer taro,2021,3,Mujeres,85019,405415,20.970857020000000000000
Quintana Roo,2021,3,Hombres,32296,559368,5.7736588440000000000000
Quintana Roo,2021,3,Mujeres,13787,327498,4.2097967010000000000000
San Luis Potos ,2021,3,Hombres,146776,750776,19.54990570000000000000
San Luis Potos ,2021,3,Mujeres,99274,505911,19.622819030000000000000
Sinaloa,2021,3,Hombres,79503,789334,10.07216210000000000000
Sinaloa,2021,3,Mujeres,72150,518560,13.913529770000000000000
Sonora,2021,3,Hombres,146249,813041,17.987899750000000000000
Sonora,2021,3,Mujeres,125856,565382,22.260347870000000000000
Tabasco,2021,3,Hombres,39345,602062,6.5350412420000000000000
Tabasco,2021,3,Mujeres,29390,340762,8.6247879750000000000000
Tamaulipas,2021,3,Hombres,216436,956434,22.629475740000000000000
Tamaulipas,2021,3,Mujeres,139388,644108,21.640470230000000000000
Tlaxcala,2021,3,Hombres,80345,348470,23.056504150000000000000
Tlaxcala,2021,3,Mujeres,65317,243921,26.77793220000000000000
Veracruz,2021,3,Hombres,163907,2095032,7.8236036490000000000000
Veracruz,2021,3,Mujeres,115123,1172087,9.8220524590000000000000
Yucat n,2021,3,Hombres,108215,685362,15.7894660000000000000
Yucat n,2021,3,Mujeres,81269,444683,18.275715510000000000000
Zacatecas,2021,3,Hombres,42955,421341,10.194830320000000000000
Zacatecas,2021,3,Mujeres,36881,260001,14.184945440000000000000
Nacional,2021,4,Hombres,5743883,34289260,16.751259720000000000000
Nacional,2021,4,Mujeres,3583702,22321951,16.054609210000000000000
Aguascalientes,2021,4,Hombres,95885,378317,25.345147060000000000000
Aguascalientes,2021,4,Mujeres,50875,252380,20.158094940000000000000
Baja California,2021,4,Hombres,259417,1086268,23.881491490000000000000
Baja California,2021,4,Mujeres,187028,703836,26.57266750000000000000
Baja California Sur,2021,4,Hombres,18897,251012,7.5283253390000000000000
Baja California Sur,2021,4,Mujeres,9255,166622,5.5544886030000000000000
Campeche,2021,4,Hombres,18301,263216,6.9528448120000000000000
Campeche,2021,4,Mujeres,16207,157884,10.265131360000000000000
Coahuila,2021,4,Hombres,285396,869610,32.818849830000000000000
Coahuila,2021,4,Mujeres,138903,552104,25.158846880000000000000
Colima,2021,4,Hombres,20968,223188,9.3947703280000000000000
Colima,2021,4,Mujeres,12681,166247,7.6278068180000000000000
Chiapas,2021,4,Hombres,220873,1448841,15.244806020000000000000
Chiapas,2021,4,Mujeres,100812,709564,14.207597910000000000000
Chihuahua,2021,4,Hombres,282802,1050801,26.912993040000000000000
Chihuahua,2021,4,Mujeres,221225,675538,32.747972730000000000000
Ciudad de M xico,2021,4,Hombres,276188,2482984,11.123229150000000000000
Ciudad de M xico,2021,4,Mujeres,168470,1982122,8.4994768230000000000000
Durango,2021,4,Hombres,82494,490190,16.828984680000000000000
Durango,2021,4,Mujeres,57450,317145,18.114742470000000000000
Guanajuato,2021,4,Hombres,437933,1632693,26.82274010000000000000
Guanajuato,2021,4,Mujeres,229763,1057021,21.736843450000000000000
Guerrero,2021,4,Hombres,59920,909289,6.589764090000000000000
Guerrero,2021,4,Mujeres,70838,575900,12.300399370000000000000
Hidalgo,2021,4,Hombres,113851,801863,14.198310680000000000000
Hidalgo,2021,4,Mujeres,100253,565987,17.7129510000000000000
Jalisco,2021,4,Hombres,448951,2398692,18.716492150000000000000
Jalisco,2021,4,Mujeres,272988,1525920,17.890059770000000000000
M xico,2021,4,Hombres,780998,4613785,16.927490120000000000000
M xico,2021,4,Mujeres,409227,2996155,13.658405520000000000000
Michoac n,2021,4,Hombres,111954,1305111,8.5781209410000000000000
Michoac n,2021,4,Mujeres,67626,805822,8.392175940000000000000
Morelos,2021,4,Hombres,60707,493277,12.306878290000000000000
Morelos,2021,4,Mujeres,34171,337105,10.136604320000000000000
Nayarit,2021,4,Hombres,26669,350322,7.6127105920000000000000
Nayarit,2021,4,Mujeres,24521,243607,10.065802710000000000000
Nuevo Le n,2021,4,Hombres,497241,1724947,28.82645090000000000000
Nuevo Le n,2021,4,Mujeres,205099,1059373,19.360414130000000000000
Oaxaca,2021,4,Hombres,83636,1066764,7.8401595850000000000000
Oaxaca,2021,4,Mujeres,134923,759508,17.764526510000000000000
Puebla,2021,4,Hombres,316434,1719797,18.399497150000000000000
Puebla,2021,4,Mujeres,203202,1207987,16.821538640000000000000
Quer taro,2021,4,Hombres,152843,596115,25.639851370000000000000
Quer taro,2021,4,Mujeres,83436,403449,20.680680830000000000000
Quintana Roo,2021,4,Hombres,27189,549514,4.9478266250000000000000
Quintana Roo,2021,4,Mujeres,16384,346470,4.7288365520000000000000
San Luis Potos ,2021,4,Hombres,160722,755367,21.277339360000000000000
San Luis Potos ,2021,4,Mujeres,101422,516339,19.642521680000000000000
Sinaloa,2021,4,Hombres,87420,826615,10.575660980000000000000
Sinaloa,2021,4,Mujeres,63827,515768,12.375137660000000000000
Sonora,2021,4,Hombres,146422,816760,17.927175670000000000000
Sonora,2021,4,Mujeres,126574,582521,21.728658710000000000000
Tabasco,2021,4,Hombres,44924,613959,7.3171009790000000000000
Tabasco,2021,4,Mujeres,29586,339762,8.7078602080000000000000
Tamaulipas,2021,4,Hombres,230206,971548,23.694763410000000000000
Tamaulipas,2021,4,Mujeres,148827,656539,22.668417260000000000000
Tlaxcala,2021,4,Hombres,76525,349772,21.878538020000000000000
Tlaxcala,2021,4,Mujeres,65627,245157,26.769376360000000000000
Veracruz,2021,4,Hombres,173180,2131832,8.1235294340000000000000
Veracruz,2021,4,Mujeres,106314,1151409,9.2333827510000000000000
Yucat n,2021,4,Hombres,102142,689720,14.809197940000000000000
Yucat n,2021,4,Mujeres,90001,476803,18.875929890000000000000
Zacatecas,2021,4,Hombres,42795,427091,10.020112810000000000000
Zacatecas,2021,4,Mujeres,36187,269907,13.407210630000000000000
Nacional,2022,1,Hombres,5757843,33997934,16.935861460000000000000
Nacional,2022,1,Mujeres,3564843,22081189,16.144252920000000000000
Aguascalientes,2022,1,Hombres,97926,379297,25.817762860000000000000
Aguascalientes,2022,1,Mujeres,48122,245441,19.606341240000000000000
Baja California,2022,1,Hombres,275073,1062402,25.891611650000000000000
Baja California,2022,1,Mujeres,182245,707841,25.746601280000000000000
Baja California Sur,2022,1,Hombres,14513,248239,5.8463819140000000000000
Baja California Sur,2022,1,Mujeres,10818,172527,6.2703229060000000000000
Campeche,2022,1,Hombres,19462,264073,7.3699317990000000000000
Campeche,2022,1,Mujeres,16887,158618,10.64633270000000000000
Coahuila,2022,1,Hombres,294213,868646,33.870299290000000000000
Coahuila,2022,1,Mujeres,136843,545222,25.09858370000000000000
Colima,2022,1,Hombres,19191,221932,8.64724330000000000000
Colima,2022,1,Mujeres,10856,158110,6.8661058760000000000000
Chiapas,2022,1,Hombres,154706,1462738,10.576466870000000000000
Chiapas,2022,1,Mujeres,87455,641490,13.633104180000000000000
Chihuahua,2022,1,Hombres,285714,1041952,27.421032830000000000000
Chihuahua,2022,1,Mujeres,224099,648005,34.582912170000000000000
Ciudad de M xico,2022,1,Hombres,289625,2439094,11.874286110000000000000
Ciudad de M xico,2022,1,Mujeres,175899,1946624,9.0361055860000000000000
Durango,2022,1,Hombres,79715,482340,16.526723890000000000000
Durango,2022,1,Mujeres,55750,309916,17.988745340000000000000
Guanajuato,2022,1,Hombres,467808,1641914,28.491626240000000000000
Guanajuato,2022,1,Mujeres,235246,1062668,22.13729970000000000000
Guerrero,2022,1,Hombres,65484,819846,7.9873537230000000000000
Guerrero,2022,1,Mujeres,70182,532676,13.175363640000000000000
Hidalgo,2022,1,Hombres,96141,782465,12.286939350000000000000
Hidalgo,2022,1,Mujeres,101916,559231,18.22431160000000000000
Jalisco,2022,1,Hombres,445031,2388048,18.635764440000000000000
